Donor Agency,Project Title,Aid Modality,Type Of Assistance,Primary Sector,Implementing Agency,Date of Agreement Signed,Date of Agreement Effective,Date of Planned Completion,Type of PIU,Status,AMP ID,Cumulative Commitment,Cumulative Disbursement,2007 Q1 Actual Disbursements,2007 Q2 Actual Disbursements,2007 Q3 Actual Disbursements,2007 Q4 Actual Disbursements,2008 Q1 Actual Disbursements,2008 Q2 Actual Disbursements,2008 Q3 Actual Disbursements,2008 Q4 Actual Disbursements,2009 Q1 Actual Disbursements,2009 Q2 Actual Disbursements,2009 Q3 Actual Disbursements,2009 Q4 Actual Disbursements,2010 Q1 Actual Disbursements,2010 Q2 Actual Disbursements,2010 Q3 Actual Disbursements,2010 Q4 Actual Disbursements,2011 Q1 Actual Disbursements,2011 Q2 Actual Disbursements,2011 Q3 Actual Disbursements,2011 Q4 Actual Disbursements,Total Actual Disbursements
Department for International Development,"Kasumbu and Mpando Safe Water Supply, Saniation and Hygien Project",Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION", ,01/04/2011,01/04/2011,31/07/2012,None,Ongoing,8722612610908,1535390.881,935659.955, , , , , , , , , , , , , , , ,334786.324,361746.255,239127.375, , ,935659.955
Department for International Development,Regional Safe Abortion Programm (IPAS),Direct Project Support,Grant,HEALTH, ,,,,NGO,Ongoing,8722615410860,0,393558.043, , , , , , , , , , , , , , ,47199.531,-26644.688, ,373003.199, , ,393558.043
Department for International Development,Access to Finance EFO,Direct Project Support,Grant,ECONOMIC GOVERNANCE,World Bank,15/09/2009,15/12/2010,30/09/2012,None,Ongoing,8722612610814,270805.607,270805.607, , , , , , , , , , , , , ,270805.607, , , , , , ,270805.607
Department for International Development,Acute Needs/Humanitarian Assistance,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT", ,01/02/2011,21/02/2011,31/10/2011,NGO,Cancelled,8722612610805,2365029.508,790354.166, , , , , , , , , , , , , , ,790354.166, , , , , ,790354.166
Department for International Development,WB/AFDB Infrastructure Specialist,Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT", ,03/09/2010,03/09/2010,03/08/2012,NGO,Ongoing,8722612610802,331399.21,456417.825, , , , , , , , , , , , , ,165533.982,290883.842, , , , , ,456417.825
Department for International Development,Cash Transfer for Food Security,Direct Project Support,Grant,ECONOMIC GOVERNANCE,Ministry of Agriculture and Food Security,,07/12/2010,30/06/2011,None,Closed,8722612610800,641633.717,652857.305, , , , , , , , , , , , , ,328833.262,324024.042, , , , , ,652857.305
Department for International Development,Health SWAp TC - Discrete,Health SWAp - Discrete,Grant,HEALTH, ,01/07/2010,01/07/2010,30/06/2012,None,Ongoing,8722614410768,1526319.502,1322515.273, , , , , , , ,476409.027,306421.464,3949.452,126707.079, ,71544.446,91284.963,246198.84, , , , , ,1322515.273
Department for International Development,Education Sector Reform Programme (Education SWAp) - Discrete,Education SWAp - Discrete,Grant,EDUCATION,"Ministry of Education, Science and Technology",01/12/2009,01/07/2010,30/06/2013,None,Ongoing,8722614410767,8354218.88,529154.992, , , , , , , , , , , , ,24830.144,47301.179,146677.534,310346.134, , , , ,529154.992
Department for International Development,empowering people with epilepsy in Malawi,Direct Project Support,Grant,HEALTH, ,,01/07/2009,31/03/2012,NGO,Ongoing,8722612410752,535809.268,70419.931, , , , , , , , , , , , ,70419.931, , , , , , , ,70419.931
Department for International Development,Humanitarian Assistance - Karonga Earthquake,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT", ,01/02/2010,31/03/2011,,NGO,Closed,8722612610578,1487255.081,1418375.9, , , , , , , , , , ,634222.771, ,268387.444,404865.67,70337.833,35045.7, ,5516.479, , ,1418375.9
Department for International Development,Malawi Unpaved Roads Programme 2009 -2013,Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT",Road Fund Administration,01/12/2009,01/12/2009,02/12/2009,None,Cancelled,8722612410562,0,166266.407, , , , , , , , ,15630.402, ,150636.004, , , , , , , , , ,166266.407
Department for International Development,Education SWAP TC,Education SWAp - Discrete,Technical Assistance,EDUCATION,"Ministry of Education, Science and Technology",01/12/2009,31/12/2011,,None,Ongoing,8722612410561,16150594.35,893693.867, , , , , , , , ,48574.457,54072.399,58488.079,70304.18,33036.381,130692.675,75327.852,92283.456,56015.907,130575.471,48667.701,38953.635,836992.2
Department for International Development,EIMU Support TC,Direct Project Support,Technical Assistance,EDUCATION,"Ministry of Education, Science and Technology",,10/01/2008,31/12/2011,Embedded,Closed,8722612410451,147666.863,338661.778, , , , , , ,1959.172, , , ,24633.505,7512.697,37883.25, , ,266673.153, , , , ,338661.778
Department for International Development,EIMU Support FA,Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",,10/01/2008,31/10/2011,Embedded,Closed,8722612410450,1949202.598,889299.148, , , , , , ,140510.159, ,-27548.523,267033.5,251867.919, , ,257436.092, , , , , , ,889299.148
Department for International Development,DFID Response to 08/09 Cholera Epidemic,Direct Project Support,Grant,HEALTH, ,01/03/2009,,01/03/2009,NGO,Closed,8722611610443,951233.342,978520.353, , , , , , ,537603.245,440917.107, , , , , , , , , , , , ,978520.353
Department for International Development,Support to VSO,Direct Project Support,Grant,EDUCATION,Department for International Development,01/03/2009,,01/03/2009,NGO,Closed,8722611610442,383955.202,2306188.623, , , , , , ,390943.006,23105.047,469804.273,209516.872, , , ,943072.391,176229.938,58572.737,34944.356, , , ,2306188.623
Department for International Development,Infrastructure Support,Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",,01/02/2001,01/12/2007,Embedded,Closed,8722611610439,2252710.519,6423.706, , , , , , ,6423.706, , , , , , , , , , , , , ,6423.706
Department for International Development,Infrastructure Support (FA),Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT","Ministry of Education, Science and Technology",,01/02/2005,01/12/2007,Embedded,Closed,8722611610438,14715870.5,126791.181, , , , , , ,141283.871, , , ,-14492.69, , , , , , , , , ,126791.181
Department for International Development,DFID Malawi Climate Change Programme,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT"," - Department for International Development
 - United Nations Development Programme
 - World Bank",15/01/2009,15/01/2009,31/03/2013,NGO,Closed,8722611610395,0,1051383.707, , , , , , , , ,665.47,9640.947,35882.123,12236.018,67896.158,205305.519,444589.804,15211.683,26371.861,29480.005,204104.116, ,1051383.707
Department for International Development,SSAJ (FA),Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,Ministry of Justice,,03/05/2007,01/09/2010,None,Closed,8722612410387,0,3373883.383, , , ,664611.755,231693.971, , ,643802.175,-111521.774, ,618374.805, ,522668.763,89361.528,292810.354,195206.364,151942.281,74933.158, , ,3373883.383
Department for International Development,Vulnerability Assessment 2 (FA),Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT",Ministry of Economic Planning and Development,01/10/2007,31/12/2011,31/03/2012,None,Closed,8722612410373,0,405331.227, , , , , , , , ,160782.906, ,110721.982, , , ,133826.337, , , , , ,405331.227
Department for International Development,PRBS (TC) - 2008-2009,Direct Project Support,Technical Assistance,ECONOMIC GOVERNANCE,Ministry of Finance,,,,None,Closed,8722613110312,1989258.006,3650.628, , , , , , , , , ,3650.628, , , , , , , , , , ,3650.628
Department for International Development,Vulnerability Assessment 2 (TC),Direct Project Support,Technical Assistance,"VULNERABILITY, DISASTER AND RISK MANAGEMENT",Save the Children,01/10/2007,30/09/2010,31/03/2012,NGO,Closed,8722613110310,765088.056,621549.733, , , , , ,70387.077,313872.315, , , ,198952.503, ,15720.906,22616.93, , , , , , ,621549.733
Department for International Development,PRBS (FA) - 2008-2009,Budget Support,Grant,ECONOMIC GOVERNANCE,Ministry of Finance,01/07/2008,01/07/2008,30/06/2009,None,Closed,8722611410269,53709966.18,40468766.37, , , , , ,32752716.99, ,7716049.382, , , , , , , , , , , , ,40468766.37
Department for International Development,"Water and Sanitation Governance - (Old name) Water Aid - Policy, Equity and Accountability",Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION",Water Aid,01/07/2008,08/12/2008,12/01/2011,NGO,Closed,8722612410197,1960728.068,1009743.249, , , , ,42052.914, , ,63789.815, ,349539.286,76889.522, ,270431.188,307112.45, ,-100071.929, , , , ,1009743.249
Department for International Development,Safe Water Supply & Sanitation - old name Dedza & Ntcheu Safe Water Hygiene Promotion,Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION",Concern-uk,08/08/2006,,03/01/2011,NGO,Closed,8722612410192,1250562.96,1398203.708, , , ,263280.912,63127.475,140326.593,27152.327,117325.809,78998.532,32048.834,76889.522,114876.834,26174.525,145721.21,215192.883,14684.801,60525.609,17332.612,4545.223, ,1398203.708
Department for International Development,Support to Social Protection,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT", ,01/07/2008,01/07/2008,01/07/2008,NGO,Closed,8722612410175,0,138842.267, , , ,83300.148,35920.524,18705.937,103.487,41.152,1213.505, , ,14519.637, ,-14962.124, , , , , , ,138842.267
Department for International Development,Malawi UN Reform,Direct Project Support,Grant,ECONOMIC GOVERNANCE,United Nations Development Programme,01/07/2008,01/07/2008,01/07/2008,NGO,Closed,8722612410169,397851.601,365641.223, , , ,196579.516, ,169061.707, , , , , , , , , , , , , , ,365641.223
Department for International Development,Private Sector Led Growth Opportunities (FA),Direct Project Support,Grant,"TRADE, INDUSTRY AND PRIVATE SECTOR DEVELOPMENT", ,01/07/2008,01/07/2008,01/07/2008,NGO,Closed,8722612410163,497314.501,364704.078, , , , , ,338123.415,26580.663, , , , , , , , , , , , , ,364704.078
Department for International Development,"Support to Policy Making, Coordination & the Budget (SPMCB) (FA)",Direct Project Support,Grant,ECONOMIC GOVERNANCE," - Ministry of Economic Planning and Development
 - Ministry of Finance
 - National Statistics Office
 - Office of the President and Cabinet",,,,None,Closed,8722611610157,2214471.571,1345989.999,473092.056, ,377409.929, , , , , , , , , , , , , , , , , ,850501.985
Department for International Development,Private Sector Led Growth Opportunities (TC),Direct Project Support,Technical Assistance,"TRADE, INDUSTRY AND PRIVATE SECTOR DEVELOPMENT", ,01/07/2008,01/07/2008,01/07/2008,NGO,Closed,8722612410152,994629.003,746506.46, ,10378.101,54930.98,106856.581,100502.516,89496.065,4666.378,116417.519,167323.438,47111.183,36817.449,1574.791,5178.802, , ,5252.653, , , , ,746506.46
Department for International Development,Perfomance Evidence Accountability (FA),Direct Project Support,Grant,ECONOMIC GOVERNANCE,Ministry of Economic Planning and Development,01/12/2007,01/12/2007,31/12/2010,None,Closed,8722612410129,2745422.613,1955272.499, , , ,287131.904, , , ,-1460.905,11823.519,541611.842,21640.456,32375.396,74182.944,880649.867,107317.473, , , , , ,1955272.499
Department for International Development,Perfomance Evidence Accountability (TC),Direct Project Support,Technical Assistance,ECONOMIC GOVERNANCE,Ministry of Economic Planning and Development,01/12/2007,01/12/2007,31/12/2010,None,Closed,872261269983,3351030.542,2876694.919, ,152208.556,10080.176,89500.655,415733.148,104329.271,7249.673, ,121420.649,15235.474,924294.525, , ,490811.123,165099.884,71832.05,146142.5,47769.651,114987.577, ,2876694.919
Department for International Development,"Safety, Security and Access to Justice (SSAJ) -TC",Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,Ministry of Justice,03/05/2007,03/05/2007,31/12/2011,None,Closed,872261289970,8175089.787,10072508.75,38684.332,28953.1,1346907.429,1196561.035,507108.101,586055.157,1243.266,942857.216,412291.632,37057.391,488083.854,682596.813,369564.866,723878.335,967527.352,1101772.253,617104.529,24262.079, , ,10072508.75
Department for International Development,PASI,Direct Project Support,Grant,AGRICULTURE, ,,,,NGO,Closed,872261289960,381873.209,328876.763,96560.048, ,234298.09,-1981.375, , , , , , , , , , , , , , , , ,328876.763
Department for International Development,Policy Analysis and Research,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE, ,,,,NGO,Closed,872261289955,408613.574,26216.507, ,10937.638,15278.868, , , , , , , , , , , , , , , , , ,26216.507
Department for International Development,Agriculture Input Subsidy (TC),Farm Input Subisdy Program - Discrete," - Grant
 - Technical Assistance",AGRICULTURE,Ministry of Agriculture and Food Security,,,,None,Closed,872261299954,2247148.502,1488097.561,911462.29,247211.212,172845.759,62064.003,94514.296, , , , , , , , , , , , , , , ,1488097.561
Department for International Development,Emergency Support to Government,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT",World Food Programme,01/10/2006,01/10/2006,30/04/2007,NGO,Closed,872261289948,6091389.586,535054.605, ,535054.605, , , , , , , , , , , , , , , , , , ,535054.605
Department for International Development,DfID Budget Support 2007/08,Budget Support,Grant,ECONOMIC GOVERNANCE,Ministry of Finance,01/07/2006,01/07/2006,30/06/2007,None,Closed,872261149926,44687290.53,44411248.16, ,44411248.16, , , , , , , , , , , , , , , , , , ,44411248.16
Department for International Development,Demographic Health Survey,Direct Project Support,Grant,HEALTH,Ministry of Health,01/07/2004,,30/06/2005,None,Closed,872261289912,184379.379,664038.819, , , , , , , , ,489316.587, , , , , , , , , , , ,489316.587
Department for International Development,Support to Education Sector (TC),Direct Project Support,Technical Assistance,EDUCATION,"Ministry of Education, Science and Technology",01/02/2001,01/02/2001,01/12/2007,None,Closed,872261289911,14454466.18,13315399.98,43974.733,174648.855,266384.187,85301.066,184027.742,100094.736, , ,0, ,60233.618,85024.629, , , , , , , , ,999689.57
Department for International Development,Vulnerablity Assessment Committee,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT",Ministry of Economic Planning and Development,01/04/2005,01/04/2005,01/03/2007,None,Closed,872261289897,509641.624,751075.765,40.369,429371.143, ,133378.806, , , , , , , , , , , , , , , , ,562790.32
Department for International Development,National Safety Nets Inception Phase,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT",Ministry of Economic Planning and Development,01/03/2003,01/03/2003,30/06/2006,None,Closed,872261269866,1344256.072,610796.462,38522.099,3379.93,131.578, , , , , , , , , , , , , , , , , ,42033.609
Department for International Development,Pre - Health SWAP FA,Health SWAp - Discrete,Grant,HEALTH,Ministry of Health,01/04/2005,,31/03/2011,None,Closed,872261289839,322189.371,411223.553, , , , , , , , , , , ,97778.609, , , , , , , , ,97778.609
Department for International Development,"Support to Policy Making, Coordination & the Budget (SPMCB) (TC)",Direct Project Support,Technical Assistance,ECONOMIC GOVERNANCE," - Ministry of Economic Planning and Development
 - Ministry of Finance
 - National Statistics Office
 - Office of the President and Cabinet",01/04/2005,,01/04/2008,None,Closed,872261289828,6841786.066,969439.657,103824.223,79155.345,74767.604,43170.263, ,54466.994, , , , , , , , , , , , , , ,355384.43
Department for International Development,Support to Education Sector - FA,Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",01/01/2001,,01/12/2007,None,Closed,872261289827,64326409.38,70086975.95, ,1243420.234,4123435.321, ,5580535.314,6883321.91,7057570.701,-300022.927,44805.088,5106284.047,14040950.07, , , , , , , , , ,43780299.77
Department for International Development,Malawi Safety Security and Access to Justice (MASSAJ)-FA,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,Police,01/08/1999,,01/12/2007,NGO,Closed,872261289822,31567072.39,5158121.135,21537.281, , , , , , , , , , , , , , , , , , , ,21537.281
Department for International Development,Malawi Safety Security and Access to Justice (MASSAJ) TC,Direct Project Support,Technical Assistance,DEMOCRATIC GOVERNANCE," - Ministry of Justice
 - Police
 - Prisons Service",,01/03/2000,01/12/2007,None,Closed,872261289780,28055700.44,16555438.78,115601.299,104270.87,61426.336,47691.717,21054.306, , , , , , , , , , , , , , , ,350044.531
Department for International Development,Support to Anti Corruption Bureau III,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,Anti-Corruption Bureau,01/01/2007,,31/12/2011,None,Closed,872261289776,4893996.045,3791332.805,-29880.431, ,1146774.193, , , , ,734861.845, ,25498.312,729820.899, , , ,808100.463, , , , , ,3415175.282
European Union,,,,,,,,,,,,1103543535,893966144,10783931.99,19755501.23,5832410.672,15620880.07,21893244.23,58150106.33,6340829.908,27323426.06,4446569.939,4437906.035,19621816.43,10367114.82,4065115.978,35329133.66,131504989.7,13699059.04,18166195.46,231566024.2,11986632.93,22137427.28,673028316
European Union,Rural Infrastructure Development Programme (RIDP),Direct Project Support,Grant,INTEGRATED RURAL DEVELOPMENT, ,18/05/2015,18/05/2011,18/05/2015,None,Ongoing,8722612610938,57140539.67,46015826.91, , , , , , , , , , , , , , , , ,12186056.47,18054.005,929864.393,222351.053,13356325.92
