Project Title,Municipality,Donor Agency,OECD/DAC Sector,Implementing Agency,Beneficiary Agency,2008 Actual Commitments,2008 Actual Disbursements,2009 Actual Commitments,2009 Actual Disbursements,2010 Actual Commitments,2010Actual Disbursements,Total Actual Commitments,Total Actual Disbursements
  Empowering Parliamentary Oversight in Kosovo, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Online Transparency of Prizren and Mamusha Municipality," - Mamusha
 - Prizren",United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Transparency and Accountability in Public Procurement, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY,Kosova Democratic Institute,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  “Kosovo Talks EU” Recognitions Advocacy and Public Diplomacy, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Improving Policy Analyses Skills in 3 pilot Ministries and Office of Prime Minister, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Towards law implementation and solid institutions: the current and possible role of inspectorates, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY,Institute for Advanced Studies GAP,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Sport4Integration, ,United Kingdom of Great Britain and Northern Ireland,110 - EDUCATION,Sport Sans Frontieres,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Heritage Train HAJDE 2013, ,United Kingdom of Great Britain and Northern Ireland,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support to the Office of the Auditor General, ,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,International Management Group,Office of the Auditor General,0,0,0,0,0,0,0,0
  IPA 2010 & IPA 2011 - EU Scholarship Scheme, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,British Council,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Supervision of Municipal Social and Economic Infrastructure Programme,Mitrovica,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,"LOUIS BERGER Group, Inc",Ministry of Local Government and Administration,0,0,0,0,0,0,0,0
  Arrangement for Joint Funding in Support of the Education Sector Development in Kosovo, ,Austrian Development Agency,110 - EDUCATION,"Ministry of Education, Science and Technology","Ministry of Education, Science and Technology",0,0,0,0,0,0,0,0
  NK - Support to Serbian Orthodox Church,North Mitrovica,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  CS - Local Elections in North Mitrovica,North Mitrovica,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  CS - Support to the students in North Mitrovica,North Mitrovica,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Centar za Razvoj Lokalnih Sredina,North Mitrovica,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,7211.999,0,0,0,0,0,7211.999
  Through art to Europe," - Leposaviq
 - North Mitrovica
 - Zubin Potok
 - Zvecan",Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  For co-existence,Leposaviq,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Minorities as Majorities - documentaries," - Leposaviq
 - Zvecan",Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Outreach for the Mediation in Mitrovica project," - Leposaviq
 - North Mitrovica
 - Zubin Potok
 - Zvecan",Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Supply with greenhouses,Leposaviq,Norway,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Sokolica Monastery,Zvecan,Norway,140 - WATER AND SANITATION, ,N/A Beneficiary Organization,0,6355.214,0,0,0,0,0,6355.214
  Creating a Third Side through Mediation by the civil society," - Leposaviq
 - Mitrovica
 - North Mitrovica
 - Zubin Potok
 - Zvecan",Norway,150 - GOVERNMENT AND CIVIL SOCIETY,CSSP,CSSP,0,0,0,0,0,0,0,0
  Exchange of student records UP-N.Mitrovica,North Mitrovica,Norway,110 - EDUCATION,SPARK,N/A Beneficiary Organization,8654.4,8654.4,0,0,0,0,8654.4,8654.4
  Increasing access to Finance and Creating Jobs in Northern Kosovo," - Leposaviq
 - North Mitrovica
 - Zubin Potok
 - Zvecan",Norway,240 - BANKING AND FINANCIAL SERVICES,Crimson Capital Corporation,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support for higher education, ,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support to children's table tennis school,Ferizaj,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  ED - International Business Matchmaking Platform, ,Norway,220 - COMMUNICATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Education and legal assistance to RAE Communities, ,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Development of the MCR 2014-2018 Strategy for Communities and Return, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,The European Centre for Minority Issues in Kosovo,0,0,0,0,0,0,0,0
  NK - Transition after the Brussels Agreement, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Study of the microbiological flora of milk and dairy products in Kosovo, ,Norway,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Trainee program for students from Norway, ,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Scholarship program for RAE community, ,Norway,110 - EDUCATION, ,Voice of Roma,0,0,0,0,0,0,0,0
  Support to Serbian Orthodox Church in Lapje Selo,Gracanica,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,Serbian Orthodox Church,0,0,0,0,0,0,0,0
  Population and Hounsing Census in Kosovo, ,Swiss Agency for Development and Cooperation,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,United Nations Office for Project Services,Statistical Office of Kosovo,0,0,0,0,1002138.012,1039797.05,1002138.012,1039797.05
  Rehabilitation of victims and potential victims of trafficking, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Assistance and Support for GBV Victims in more Aware and Tolerant Kosova,Peja,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  1275850, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Policy advocacy, ,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,Kosovar Institute for Policy Research and Development,0,0,0,0,0,0,0,0
  Local policies in multiethnic municipalities, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Mother Teresa Society,0,0,0,0,0,0,0,0
  RAE community/Inclusive education, ,Norway,110 - EDUCATION, ,Balkan Sunflowers Kosova,0,0,0,0,0,0,0,0
  Anticorruption journalism unit, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Balkan Investigative Reporting Network,0,0,0,0,0,0,0,0
  Establishment of the Resource Centre facility, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Fondacioni Kosovar Per Shoqeri Civile,0,0,0,0,0,0,0,0
  SOS family strengthening, ,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,SOS- KInderdorf International,0,0,0,0,0,0,0,0
  SOS Family in the community, ,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,SOS- KInderdorf International,0,0,0,0,0,0,0,0
  Supporting CS Members of the Consultative Council for Communities, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,The European Centre for Minority Issues in Kosovo,0,0,0,0,0,0,0,0
  Mapping of illegal landfills - Let's Do It Kosova, ,Norway,140 - WATER AND SANITATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Socio economic empowerment for rural women and deprived families, ,Norway,311 - AGRICULTURE, ,Mother Teresa Society,0,0,0,0,0,0,0,0
  ED - Support to the City Cinema in Prizren,Prizren,Norway,321 - INDUSTRY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  Bogujevci family coundation, exhibition suppor", ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Premiere of Reunion, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,Nansen Dialogue Centre,Nansen Dialogue Centre,0,0,0,0,0,0,0,0
  Marking International Day Against Homophobia,Pristina,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,QESh (Center for Social Emancipation),0,0,0,0,0,0,0,0
  Promotion of a transparent Media Environment in Northern Kosovo," - Leposaviq
 - North Mitrovica
 - Zubin Potok
 - Zvecan",Finland," - 110 - EDUCATION
 - 150 - GOVERNMENT AND CIVIL SOCIETY",The European Centre for Minority Issues in Kosovo,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Exchange of ideas and cultures between regional artists through jazz,Pristina,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  “Bunateka” project,Decan,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,23.569,0,0,25786.8,23.569,25786.8
  “Bunateka” project #2,Rahovec,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,10781.1,0,10781.1,0
  MoE Employee -VET Schools Coordinator, ,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,N/A Beneficiary Organization,0,0,0,0,11460.8,11460.8,11460.8,11460.8
"  Support for publication of one ""Perpjekja"" Magazine", ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,7929.441,7929.441,7929.441,7929.441
  International Peace Day Tournament, ,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,N/A Beneficiary Organization,0,0,0,0,2147.98,2418.228,2147.98,2418.228
  Online database of Parliament votes and MP records, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Kosova Democratic Institute,0,0,10925.599,10925.599,0,0,10925.599,10925.599
  Support for SOS Kinderdorf,Pristina,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,4823.35,4779.95,0,0,4823.35,4779.95
  CMS Belgrade," - Novoberda
 - Shterpce",Norway,250 - BUSINESS AND OTHER SERVICES, ,N/A Beneficiary Organization,0,0,11300.42,11198.74,0,0,11300.42,11198.74
  Libary Bajgore in Mitrovica,Mitrovica,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,9646.7,9559.899,0,0,9646.7,9559.899
  Bletezat,Pristina,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,4788.49,4575.094,0,0,4788.49,4575.094
  Training fitness equipment for the Visoki Decani Monastery’s monks.,Prizren,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,Visoki Decani Monastery,0,0,11435.2,10925.599,0,0,11435.2,10925.599
  Software for KPA, ,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,N/A Beneficiary Organization,0,0,3859.38,3687.39,0,0,3859.38,3687.39
  Aksioni Qytetar “Fol 08”., ,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,N/A Beneficiary Organization,0,0,11149.32,10652.46,0,0,11149.32,10652.46
  Construction of Live-Stock Farm,Kamenica,Norway,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,10720.5,10242.75,0,0,10720.5,10242.75
  Prishtina Jazz Festival,Pristina,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,5002.9,4779.95,0,0,5002.9,4779.95
  Democracy in Action”., ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Kosova Democratic Institute,0,0,7147,6828.5,0,0,7147,6828.5
  Seeds of Change Touring Cultural Festival, ,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  toilet and sports facilities,Prizren,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Therapeutic horse riding -QKSTQE, ,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Snowboard Cross Brezovica,Shterpce,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Kosovo 2.0, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Golf Tournament,Pristina,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  E-counseling for youth, ,Norway,120 - HEALTH, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  Trashëgimia bizantine në Kosovë: Estetika, arti, politizimet", ,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Kopshti i Kalamajve Bang Bang,Podujeva,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  School of Activism, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Initiative for Progress,0,0,0,0,0,0,0,0
  Peer Gynt”,Pristina,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Biblioteka Gjakove,Gjakova,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Albanian Language Course,Gracanica,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Exhibition,Gjilan,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Publishing Newspaper, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Shoqata e të Verbërve dhe me të pamë të Dobësuar e Kosovës,0,0,0,0,0,0,0,0
  Trafficking Prevention for Vulnerable Youth and Women in  Kosovo, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Study of socio-economic impact for communities of the forthcoming dialogue proces- KUMT Consulting, ,Norway,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Recycling in Kolonia-Gjakova,Gjakova,Norway,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Shelter Services for Vicitims of Gender Based Violenc,Mitrovica,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  40th Anniversary of ""Gjecovi Meetings"" 2011",Prizren,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Ride for Life, ,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,Kosovo Police,0,0,0,0,0,0,0,0
  Play for All Festival, ,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,SOS- KInderdorf International,0,0,0,0,0,0,0,0
  BUNATEKA: Blinds, ,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  Promote economic development and support job creation for households in the agricultural sector through increased participation of minority, women and youth in Kosovo society.",Obiliq,Norway,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support for female volleyball clu,Mitrovica,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  FRIDAY SALON- Dialogue for Kosov, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Prishtina Insight 2011, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Balkan Investigative Reporting Network,0,0,0,0,0,0,0,0
  KPA Information System, ,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  project Employee, ,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Promoting Peaceful Co-existence in Kosovo, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Cross Cultures Project Association,0,0,0,0,0,0,0,0
  Peja in Your Pocket,Peja,Norway,332 - TOURISM, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Rexho Mulliqi- Classical Concert, ,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IT Equipment,Prizren,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,Visoki Decani Monastery,0,0,0,0,0,0,0,0
"  Learn the Signs, Act Earl", ,Norway,120 - HEALTH, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Institutional Support to the Kosovo Consultative Council for Communities 201, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,The European Centre for Minority Issues in Kosovo,0,0,0,0,0,0,0,0
  Sidewalk and handball court,Decan,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,Municipality of Decan,0,0,0,0,0,0,0,0
  CIMAP, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Kosova Democratic Institute,0,0,0,0,0,0,0,0
  DokuPhoto and DokuKid,Prizren,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,Dokufest - International Documentary and Short Film Festival,0,0,0,0,0,0,0,0
  Turkish foreign policy in the Balkan, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Klubi per Politike te Jashtme (Foreign Policy Club),0,0,0,0,0,0,0,0
  Books,Decan,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Learning Center, ,Norway,110 - EDUCATION, ,Balkan Sunflowers Kosova,0,0,0,0,0,0,0,0
  Basketball Tournament,Gjakova,Norway,998 - UNALLOCATED/ UNSPECIFIED, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  NATO Seminar, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,North Atlantic Treaty Organization,0,0,0,0,0,0,0,0
  Promoting Democracy through the red thread of education 2011,Mitrovica,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Books to schools in Albanian, ,Norway,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Girls in Transition, ,Norway,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Business Plan - UZ Gora,Pristina,Norway,250 - BUSINESS AND OTHER SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  NGOM Fest,Prizren,Norway," - 160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES
 - 400 - MULTISECTOR/CROSS-CUTTING", ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Bee Keeping,Peja,Norway,250 - BUSINESS AND OTHER SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  New Municipalities Radio and TV Bulletins," - Gracanica
 - Kllokot
 - Partesh
 - Ranilluk
 - Shterpce",Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,Radio KIM,0,0,0,0,0,0,0,0
  Clean up of the Mirusha regional park,Prizren,Norway,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
