Project Title,AMP ID,Cris Number,Modalities,Objective,Project Description,Status,Donor Agency,Donor Group,Donor Type,Financing Instrument,Funding Classification Date,Funding Status,Type Of Assistance,Actors,Issues,Measures Taken,Primary Sector,Primary Sector Sub-Sector,Secondary Sector,Secondary Sector Sub-Sector,Responsible Organization,Executing Agency,National Planning Objectives,National Planning Objectives Level 1,National Planning Objectives Level 2,National Planning Objectives Level 3,National Planning Objectives Level 4,National Planning Objectives Level 5,National Planning Objectives Level 6,National Planning Objectives Level 7,National Planning Objectives Level 8,Primary Program,Primary Program Level 1,Primary Program Level 2,Primary Program Level 3,Description,Secondary Program,Secondary Program Level 1,Secondary Program Level 8,Financial Instrument,FY,Ministry Code,On/Off/Treasury Budget,Project Code,Donor Observations,Line Ministries Observations,Actual Approval Date,Actual Closed Date,Actual Start Date,Proposed Completion Date,Proposed Project Life,Proposed Start Date,Departement,Implementation Level,District,Region,Proposed Project Amount,2011 Planned Commitments,2011 Actual Commitments,2011 Actual Disbursements,2011 Planned Disbursements,2011 Planned Expenditures,2011 Actual Expenditures,2012 Planned Commitments,2012 Actual Commitments,2012 Actual Disbursements,2012 Planned Disbursements,2012 Planned Expenditures,2012 Actual Expenditures,2013 Planned Commitments,2013 Actual Commitments,2013 Actual Disbursements,2013 Planned Disbursements,2013 Planned Expenditures,2013 Actual Expenditures,2014 Planned Commitments,2014 Actual Commitments,2014 Actual Disbursements,2014 Planned Disbursements,2014 Planned Expenditures,2014 Actual Expenditures,Planned Commitments,Actual Commitments,Actual Disbursements,Planned Disbursements,Planned Expenditures,Actual Expenditures
"  Appui au renforcement des capacites en gestion durable des mecanismes et outils de collecte d'informations, d'analyse et de suivi de la securite alimentaire",cmrx_0335,,Totally acquired,"Renforcer les capacites techniques du Ministere de l'Agriculture en gestion des mecanismes et des outils de coordination, de collectes/diffusion d'informations, d'analyse et de suivi de de la securite alimentaire et nutritionnelle developpees par l'unite des operations et de rehabilitation de la FAO.", ,Ongoing,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,27/05/2011,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , ,"Projet execute par la FAO, aucune donnee disponible au niveau du Ministere de l'agriculture",27/05/2011,31/12/2013,01/06/2011,,,27/05/2011, ,Region Level,ABIDJAN,ABIDJAN,106000,0,104370,0,0,0,0,0,0,44940,44940,0,0,0,0,27300,27300,0,0,0,0,0,0,0,0,0,104370,72240,72240,0,0
"  Appui au programme de relance de l'agriculture et de reintegration des retournes, rapatries et menages vulnerables dans le Bas-Sassandra (OSRO/IVC/204/CHR) UNHCR",112007172649,100%,Totally acquired,Contribuer a une reduction de la vulnerabilite et de l'insecurite des menages dans les zones affectees par le conflit., ,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,13/07/2012,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture,Haut Commissariat des Refugies,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , ,Aucune information disponible sur ce projet. Pas de contact disponible,13/07/2012,31/12/2012,13/07/2012,,,13/07/2012, ,District Level," - GBOKLE
 - NAWA
 - SAN-PEDRO", , ,0,0,0,0,0,0,0,977339.999,303660,303660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977339.999,303660,303660,0,0
  Assistance aux populations affectees par la crise post electorale dans la region du Moyen Cavally - FAO/ONU/CERF,112007172615,,Totally acquired,Ameliorer la securite alimentaire et la situation nutritionnelle des populations affectees par la crise post-electorale dans la region du Moyen Cavally, ,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,27/03/2012,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , ,"Projet execute par la FAO, aucune donnees disponibles au nveau du Ministere de l'Agriculture",27/03/2012,,27/03/2012,,,27/03/2012, ,District Level,CAVALLY, , ,0,0,0,0,0,0,0,887250,814800,814800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887250,814800,814800,0,0
  Assistance pour la securite alimentaire des personnes vulnerables encore affectees par les effets de la crise post electorale dans les districts des Montagnes et du Bas sassandra - FAO/ECHO,112007172618,100%,Totally acquired,Renforcer les moyens d'existence des personnes encore affectees par la crise en situation de deterioration de leur securite alimentaire par l'acces aux intrants agricoles et a la diversification d es sources de revenus dans les districts des montagnes et du Bas-Sassandra., ,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,24/04/2013,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , ,Projet cloture,24/04/2013,31/03/2014,24/04/2013,,,24/04/2013, ,District Level," - CAVALLY
 - GBOKLE
 - GUEMON
 - NAWA
 - SAN-PEDRO
 - TONKPI", , ,0,0,0,0,0,0,0,0,0,0,0,0,0,618450,443100,443100,0,0,0,0,52694.002,52694.002,0,0,0,618450,495794.002,495794.002,0,0
  Appui a la securite alimentaire des menages agricoles affectes par la crise post electorales en Cote d'Ivoire par le soutien aux systemes communautaires de production de semences vivrieres - FAO/ECHO,112007172613,,Totally acquired,"Ameliorer la securite alimentaire des populations des zones affectees par la crise par le relance des activites agricoles, contribuer a la reduction de la pauvrete", ,Ongoing,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,23/03/2012,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , ,"Aucune donnee disponible, projet gere par la FAO",23/03/2012,,23/03/2012,,,23/03/2012, ,District Level," - BAFING
 - CAVALLY
 - GUEMON
 - HAUT-SASSANDRA
 - TONKPI", , ,0,0,0,0,0,0,0,1232280,735420,735420,0,0,0,0,300300,300300,0,0,0,0,12646.56,12646.56,0,0,0,1232280,1048366.56,1048366.56,0,0
"  Appui a la lutte contre les ravageurs des fruits, des legumes et des stocks",cmrx_0346,,Totally acquired, , ,Ongoing,Union economique et Monetaire Ouest Africaine,Union economique et Monetaire Ouest Africaine,Multilateral,Don projet,22/12/2012,Ongoing,Don nature, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture,La competitivite de l'agriculture ivoirienne et sa capacite a remunerer suffisamment les producteurs sont renforcees, , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,Off Budget, , ,Information non disponible au niveau du MINAGRI.,22/12/2012,25/01/2014,25/01/2013,25/01/2014,,, ,National, , ,105000,0,0,0,0,0,0,0,105000,0,0,0,0,0,0,84000,84000,0,0,0,0,0,0,0,0,0,105000,84000,84000,0,0
  Promotion des Filieres Agricoles et Biodiversite (PROFIAB),112007173964,,Totally acquired,les populations rurales mettent en valeur de façon durable le potentiel economique des ressources naturelles en retablissant et en augmentant la biodiversite,"composante 1: Promotion des filieres agricoles cacao-palmier a huile-bois, anacarde_mais-porc-oignon;   composante 2: conservation du parc national de Tai et biodiversite.",Ongoing," - Etat
 - GIZ"," - Cooperation Allemagne
 - etat"," - Bilateral
 - etat"," - Don projet
 - Ressources Internes",25/10/2013,Ongoing," - Don financier
 - Etat Contrepartie", , , ,05 - PROTECTION DE L'ENVIRONNEMENT,054 - Preservation de la biodiversite et protection de la nature,400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE,430 - AUTRES MULTISECTEURS,Ministere de l’Agriculture,GIZ,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,"Environnement, Eaux et Forets",Environnement et Developpement durable,Les differents ecosystemes sont restaures et la gestion des ressources naturelles est amelioree, , , , , , , , , , , , , ,,,On Budget,824950201, , ,25/10/2013,,01/05/2013,,,10/07/2013, ,District Level," - BOUKANI
 - CAVALLY
 - GUEMON
 - NAWA
 - PORO
 - SAN-PEDRO
 - TCHOLOGO", , ,0,0,0,0,0,0,0,0,0,0,0,0,0,13839764.4,0,0,0,0,0,0,5474128.952,5814202.8,0,0,0,13839764.4,5474128.952,5814202.8,0,0
  Amenagement Hydro agricole de Sangopari (PAHS),112007131045,5%,Totally acquired,"Contribuer a la securite alimentaire et a la reduction de la pauvrete en milieu rural dans la zone d’intervention par, entre autres, le developpement des activites generatrices de revenu.",Composante 1- Etudes   Composante 2- Travaux de barrage et d&#39;amenagement de perimetre   Composante 3- Controle et surveillance et supervision generale du projet   Composante 4- Mesures Environnementales et d'Accompagnement   Composante 5- Appui a la Mise en Valeur et a la Commercialisation   Composante 6- Organisation et gestion,Ongoing," - Banque Ouest Africaine de Developpement
 - Etat
 - Institution de Micro Finance"," - Autre
 - Banque Ouest Africaine de Developpement
 - etat"," - Autre
 - Multilateral
 - etat"," - A determiner
 - Pret projet concessionnel
 - Ressources Internes"," - 
 - 20/12/2011
 - 02/01/2012"," - Funding Intent
 - Ongoing"," - Etat Contrepartie
 - Pret", ,-Retard accuse par le bailleur pour obtenir les reponses aux Demandes de Retrait de Fonds (DRF) -Insuffisance de mise a disposition de fonds de la contrepartie ivoirienne, ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture,Les capacites des parties prenantes au developpement de l'agriculture et des ressources animales et halieutiques sont renforcees, , , , , , , , , , , , , ,,,On Budget,827950125, , ,20/12/2011,01/10/2016,,31/12/2015,4,25/09/2012, ,Region Level,TCHOLOGO,FERKESSEDOUGOU,13290900,0,0,0,0,0,0,178500,13112400,103950,8131829.999,0,0,0,0,617422.522,6011460,0,0,0,0,2640191.583,6441301.526,0,0,178500,13112400,3361564.105,20584591.53,0,0
"  Appui pour la production, la certification et l'approvisionnement en semence cerealieres",cmrx_0329,, , , ,Ongoing,Union economique et Monetaire Ouest Africaine,Union economique et Monetaire Ouest Africaine,Multilateral,Don projet,22/12/2012,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture,"Les filieres agricoles, halieutiques et animales sont developpees", , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,Off Budget, , ,Information non disponible au niveau du MINAGRI,22/12/2012,25/01/2014,25/01/2013,25/01/2014,,, ,National, , ,131250,0,0,0,0,0,0,0,131250,0,0,0,0,0,0,105000,105000,0,0,0,0,0,0,0,0,0,131250,105000,105000,0,0
  Assistance aux populations affectees par la crise postelectorale dans la region du Moyen Cavally,cmrx_0324,,Totally acquired, , ,Ongoing,Fonds Central d'Intervention d'Urgence,Systeme des Nations Unies,Multilateral,Don projet,,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Paix et Cohesion Sociale, , , , , , , , , , , , , , , ,,,Off Budget, , ,Aucune information disponible aupres du point focal,,,01/03/2012,,,, ,District Level,CAVALLY, ,765380,0,0,0,0,0,0,0,0,0,0,0,0,0,803859,791280,791280,0,0,0,0,0,0,0,0,0,803859,791280,791280,0,0
  Projet d’Adaptation au Changement Climatique et de Stabilisation des bases de vie de la population dans le Sud-ouest de la Cote d’Ivoire (PACCS),cmrx_0122,,Totally acquired,"L’objectif global du projet est la stabilisation des moyens de subsistance de la population vulnerable, touchee par le conflit au Moyen Cavally et au Bas Sassandra a travers l’amelioration de la securite alimentaire et le renforcement des capacites d’adaptation durable aux changements climatiques.","Composante 1: L’intensification de la production agricole par l’adaptation des methodes de production et des produits agricoles aux changements climatiquesComposante 2: L’amelioration de l’acces aux proteines animales par la promotion de l’elevage de porcs, petits ruminants et l’avicultureComposante 3: L’amelioration de la disponibilite d’eau potableComposante 4: Le renforcement des structures locales",Ongoing," - Etat
 - GIZ"," - Cooperation Allemagne
 - etat"," - Bilateral
 - etat"," - Don projet
 - Ressources Internes"," - 
 - 01/06/2012",Ongoing," - Don financier
 - Etat Contrepartie", , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture,La gouvernance du secteur agricole est amelioree, , , , , , , , , , , , , ,,,On Budget,829910150, , ,01/06/2012,,01/06/2012,,,, ,District Level," - CAVALLY
 - NAWA
 - SAN-PEDRO", ,7900199.999,0,0,1170882.299,1170882.299,0,0,0,7900200,413252.699,413252.699,0,0,0,0,1721886.6,1721886.6,0,0,0,0,1140257.571,2036886.6,0,0,0,7900200,4446279.171,5342908.2,0,0
  Projet de developpement economique en milieu rural (PRODEMIR) Phase 1,cmrx_0079,,Partially acquired, , ,Closed,GIZ,Cooperation Allemagne,Bilateral,Don projet,01/06/2012,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , ,PROJET CLOTURE,,,,,,, ,National, , ,4551876,0,0,0,0,0,0,0,4132505.999,0,0,0,0,0,0,0,4132505.999,0,0,0,0,3760478.979,0,0,0,0,4132505.999,3760478.979,4132505.999,0,0
  Cooperation technique de la riziculture de Guiguidou (DIVO) (8ieme phase),112007133503,,Totally acquired, , ,Closed,Chine,Cooperation Chine,Bilateral,Assistance Technique,,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture,La competitivite de l'agriculture ivoirienne et sa capacite a remunerer suffisamment les producteurs sont renforcees, , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,Off Budget, , ,La Direction de l’evaluation et des Projets du MINAGRI ne dispose pas d'informations sur ce projet.,28/05/2012,27/05/2014,,,,28/05/2012,DIVO,Sous-Prefecture Level,LoH-DJBOUA,DIVO, ,0,0,0,0,0,0,0,1804687.5,0,1804687.5,0,0,0,0,0,0,0,0,0,0,1769060.917,0,0,0,0,1804687.5,1769060.917,1804687.5,0,0
  Programme d'Assistance Technique et financiere de la filiere Banane (ATF),cmrx_0192,,Totally acquired,Ameliorer la competitive de la filiere banane pour faire face a la liberalisation du marche Europeen de la banane,"Composante 1 : Appui a l&#39;amelioration de l&#39;appareil de production,    Composante 2 : Appuia l&#39;amelioration de la qualite    Composante 3 : Appuia l&#39;amelioration du conditions de vie des travailleurs    Composante 4: Appuia la preservation et protection de l&#39;environnement,    Composante 5: Appui a la reconversion des planteurs non competitifs    Composante 6: Appui a la mise en œuvre du Programme (appui MINAGRI et organisations professionnelles agricoles)",Closed," - Etat
 - Union Europeenne"," - Commission Europeennne
 - etat"," - Multilateral
 - etat"," - Don projet
 - Ressources Internes",21/06/2005,Closed," - Don financier
 - Etat Contrepartie", , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture,La competitivite de l'agriculture ivoirienne et sa capacite a remunerer suffisamment les producteurs sont renforcees, , , , , , , , , , , , , ,,,Off Budget, , ,projet cloture depuis 2013. a retirer de la PGA,24/06/2005,,24/06/2005,05/07/2005,,21/06/2005, ,National, , ,57687000,0,0,0,0,0,0,0,48213060,49198590,53537820,0,0,0,0,8485470,4146239.999,0,0,0,0,0,0,0,0,0,57684060,57684060,57684060,0,0
  Dialogue inter communautaire,112007134614,,Totally acquired,Contribuer au renforcement de la cohesion sociale,Formation et seances de discusion participative,Ongoing,Operation des Nations Unies en Cote d'Ivoire,Systeme des Nations Unies,Multilateral,Don projet,01/09/2012,Ongoing,Don financier, , , ,03 - ORDRE ET SECURITE PUBLICS,"036 - Ordre et securite publics, n.c.a",100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"152 - PREVENTION ET REGLEMENT DES CONFLITS, PAIX ET SECURITE","Ministere d'Etat, Ministere de l'Interieur et de la Securite", ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Paix et Cohesion Sociale,la paix et la cohesion sociale sont consolidees, , , , , , , , , , , , , , ,,,Off Budget, , , ,01/09/2012,,01/09/2012,,,01/09/2012," - ABIDJAN
 - ABOISSO
 - BEOUMI
 - BOUAKE
 - BOUNA
 - BOUNDIALI
 - DALOA
 - DIVO
 - GRAND-LAHOU
 - GUIGLO
 - KORHOGO
 - MAN
 - SEGUELA
 - TABOU
 - TOULEPLEU",Sous-Prefecture Level," - ABIDJAN
 - BAGOUE
 - BOUKANI
 - CAVALLY
 - GBEKE
 - GRANDS PONTS
 - HAUT-SASSANDRA
 - LoH-DJBOUA
 - PORO
 - SAN-PEDRO
 - SUD COMOE
 - TONKPI
 - WORODOUGOU"," - ABIDJAN
 - ABOISSO
 - BEOUMI
 - BOUAKE
 - BOUNA
 - BOUNDIALI
 - DALOA
 - DIVO
 - GRAND-LAHOU
 - GUIGLO
 - KORHOGO
 - MAN
 - SEGUELA
 - TABOU
 - TOULEPLEU", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112065.577,63408.499,75600,0,0,0,112065.577,63408.499,109311.051,0,0
  Renforcement des capacites de la police en Cote d'Ivoire (GIZ),112007173971,,Totally acquired,Renforcer les capacites de la police scientifique:judiciaire:direction du personnel de la police nationale,Renforcement de la Police en Afrique,Ongoing,GIZ,Cooperation Allemagne,Bilateral,Don projet,01/01/2008,Ongoing,Don financier, , , ,03 - ORDRE ET SECURITE PUBLICS,031 - Services de police,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"152 - PREVENTION ET REGLEMENT DES CONFLITS, PAIX ET SECURITE","Ministere d'Etat, Ministere de l'Interieur et de la Securite",GIZ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Defense et Securite,La securite et la protection des personnes et des biens sont assurees au plan national, , , , , , , , , , , , , , ,,,Off Budget, , , ,01/01/2008,,01/01/2008,,,, ,Region Level,ABIDJAN,ABIDJAN, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699999.999,699999.999,0,0,0,0,0,699999.999,0,0,0,2100000,699999.999,1399999.999,0,0
"  PARP/OMD 1: Appui Institutionnel pour le renforcement des capacite de planification, de coordination et de suivi-evaluation des actions de lutte contre la pauvrete au niveau national et au niveau des collectivite territoriales",cmrx_0213,80%,Totally acquired,"Renforcer les capacites de planification, de coordination et de suivi evaluation des actions de lutte contre la pauvrete au niveau national et au niveau des collectivites territoriales",Composante 1: Renforcement des capacites institutionnelles pour la mise en oeuvre de la SRP     Composante 2: Renforcement des capacites des collectivites locales,Ongoing,Programme des Nations Unies pour le Developpement,Systeme des Nations Unies,Multilateral,Don projet,01/07/2009,Ongoing,Don financier, , , ,01 - SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,130 - POLITIQUE EN MATIERE DE POPULATION/SANTE ET FERTILITE,"Ministere d'Etat, Ministere du Plan et du Developpement", ," - RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE
 - RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT
 - RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT"," - RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE
 - RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT
 - RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT"," - Eau Potable
 - Gouvernance Administrative et Territoriale
 - Protection Sociale"," - La transparence de l'Administration publique est renforcee
 - Les groupes vulnerables specifiques beneficient d'une protection adequate", , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,Off Budget,XXXXXXXXX,(i) Les montants des decaissements prevus et effectifs sont absents pour les annees 2010 et 2011; (ii) Les montants des decaissements effectifs sont absents pour l'annee 2014, ,25/09/2009,,01/01/2010,31/12/2014,7,25/09/2009, ,National, , ,1142875,0,0,0,0,0,0,0,0,328946.372,321947.85,0,0,0,0,367424.105,436378.949,0,0,0,0,0,269158.05,0,0,0,1142875,696370.478,1027484.849,0,0
